tool,strain,length,flag,position,threshold,cov,n
breakdancer,AKR_J,12944,TN,39524259,100,16,10
breakdancer,AKR_J,62134,TN,39537802,100,16,10
breakdancer,AKR_J,13955,TN,43005060,100,16,10
breakdancer,AKR_J,31894,TN,45986025,100,16,10
breakdancer,AKR_J,1695,TN,47156559,100,16,10
breakdancer,AKR_J,35656,TN,47158953,100,16,10
breakdancer,AKR_J,293775,TN,47196448,100,16,10
breakdancer,AKR_J,48199,TN,50059735,100,16,10
breakdancer,AKR_J,59758,TN,50114436,100,16,10
breakdancer,AKR_J,3091,TN,50174532,100,16,10
breakdancer,AKR_J,40477,TN,50557878,100,16,10
breakdancer,AKR_J,25320,TN,50601957,100,16,10
breakdancer,AKR_J,896,TN,50794790,100,16,10
breakdancer,AKR_J,32786,TN,50796155,100,16,10
breakdancer,AKR_J,15330,TN,50892396,100,16,10
breakdancer,AKR_J,1394626,TN,50908612,100,16,10
breakdancer,AKR_J,675909,TN,52309657,100,16,10
breakdancer,AKR_J,2226,TN,54483701,100,16,10
breakdancer,AKR_J,416019,TN,54578980,100,16,10
breakdancer,AKR_J,22808,TN,57135812,100,16,10
breakdancer,AKR_J,82966,TN,57431306,100,16,10
breakdancer,AKR_J,81389,TN,57520632,100,16,10
breakdancer,AKR_J,8019,TN,59213903,100,16,10
breakdancer,AKR_J,97541,TN,59224784,100,16,10
breakdancer,AKR_J,51684,TN,59610511,100,16,10
breakdancer,AKR_J,46775,TN,59767300,100,16,10
breakdancer,AKR_J,4884,TN,59820223,100,16,10
breakdancer,AKR_J,45348,TN,59826681,100,16,10
breakdancer,AKR_J,133497,TN,59885250,100,16,10
breakdancer,AKR_J,31254,TN,60024961,100,16,10
breakdancer,AKR_J,37960,TN,60309621,100,16,10
breakdancer,AKR_J,1424,TN,60642339,100,16,10
breakdancer,AKR_J,11441,TN,60692234,100,16,10
breakdancer,AKR_J,44868,TN,60880477,100,16,10
breakdancer,AKR_J,29154,TN,5406823,100,16,6
breakdancer,AKR_J,555254,TN,11223957,100,16,6
breakdancer,AKR_J,27116,TN,13872263,100,16,6
breakdancer,AKR_J,329118,TN,13906341,100,16,6
breakdancer,AKR_J,24473,TN,14766859,100,16,6
breakdancer,AKR_J,144619,TN,14792646,100,16,6
breakdancer,AKR_J,207812,TN,14937842,100,16,6
breakdancer,AKR_J,378339,TN,15148736,100,16,6
breakdancer,AKR_J,311913,TN,15527513,100,16,6
breakdancer,AKR_J,34306,TN,15846588,100,16,6
breakdancer,AKR_J,1244,TN,15881934,100,16,6
breakdancer,AKR_J,509978,TN,16507910,100,16,6
breakdancer,AKR_J,29371,TN,18197280,100,16,6
breakdancer,AKR_J,30853,TN,18232839,100,16,6
breakdancer,AKR_J,534101,TN,18926808,100,16,6
breakdancer,AKR_J,14422,TN,19856002,100,16,6
breakdancer,AKR_J,95555,TN,20044310,100,16,6
breakdancer,AKR_J,143913,TN,20144373,100,16,6
breakdancer,AKR_J,5895,TN,20561475,100,16,6
breakdancer,AKR_J,263432,TN,20576298,100,16,6
breakdancer,AKR_J,12018,TN,20843733,100,16,6
breakdancer,AKR_J,222333,TN,21069354,100,16,6
breakdancer,AKR_J,991,TN,21292619,100,16,6
breakdancer,AKR_J,146476,TN,22912896,100,16,6
breakdancer,AKR_J,130941,TN,23619761,100,16,6
breakdancer,AKR_J,3487,TN,24283644,100,16,6
breakdancer,AKR_J,8725,TN,24287492,100,16,6
breakdancer,AKR_J,2823,TN,24296931,100,16,6
breakdancer,AKR_J,17206,TN,24809850,100,16,6
breakdancer,AKR_J,15515,TN,24892474,100,16,6
breakdancer,AKR_J,51068,TN,25033596,100,16,6
breakdancer,AKR_J,64539,TN,25830311,100,16,6
breakdancer,AKR_J,73454,TN,26270409,100,16,6
breakdancer,AKR_J,359390,TN,27133486,100,16,6
breakdancer,AKR_J,295367,TN,28930303,100,16,6
breakdancer,AKR_J,6693,TN,29984047,100,16,6
breakdancer,AKR_J,22174,TN,37595291,100,16,6
breakdancer,AKR_J,12930,TN,39524260,100,16,6
breakdancer,AKR_J,62101,TN,39537802,100,16,6
breakdancer,AKR_J,270535,TN,40237917,100,16,6
breakdancer,AKR_J,34785,TN,42963665,100,16,6
breakdancer,AKR_J,13964,TN,43005060,100,16,6
breakdancer,AKR_J,24177,TN,44141130,100,16,6
breakdancer,AKR_J,34826,TN,45096482,100,16,6
breakdancer,AKR_J,51317,TN,45759300,100,16,6
breakdancer,AKR_J,18880,TN,45810978,100,16,6
breakdancer,AKR_J,33473,TN,46719116,100,16,6
breakdancer,AKR_J,1667,TN,47156587,100,16,6
breakdancer,AKR_J,35654,TN,47158953,100,16,6
breakdancer,AKR_J,48214,TN,50059718,100,16,6
breakdancer,AKR_J,59741,TN,50114436,100,16,6
breakdancer,AKR_J,3053,TN,50174532,100,16,6
breakdancer,AKR_J,40467,TN,50557878,100,16,6
breakdancer,AKR_J,25351,TN,50601957,100,16,6
breakdancer,AKR_J,981,TN,50794790,100,16,6
breakdancer,AKR_J,32777,TN,50796155,100,16,6
breakdancer,AKR_J,15319,TN,50892393,100,16,6
breakdancer,AKR_J,1394577,TN,50908614,100,16,6
breakdancer,AKR_J,675929,TN,52309657,100,16,6
breakdancer,AKR_J,2234,TN,54483700,100,16,6
breakdancer,AKR_J,416035,TN,54578972,100,16,6
breakdancer,AKR_J,39084,TN,55519103,100,16,6
breakdancer,AKR_J,139142,TN,56117909,100,16,6
breakdancer,AKR_J,22827,TN,57135811,100,16,6
breakdancer,AKR_J,82966,TN,57431306,100,16,6
breakdancer,AKR_J,81388,TN,57520632,100,16,6
breakdancer,AKR_J,8004,TN,59213903,100,16,6
breakdancer,AKR_J,97536,TN,59224784,100,16,6
breakdancer,AKR_J,51686,TN,59610511,100,16,6
breakdancer,AKR_J,13207,TN,60056825,100,16,6
breakdancer,AKR_J,18151,TN,60291173,100,16,6
breakdancer,AKR_J,37964,TN,60309623,100,16,6
breakdancer,AKR_J,1431,TN,60642339,100,16,6
breakdancer,AKR_J,25351,TN,60747714,100,16,6
breakdancer,AKR_J,44755,TN,60880477,100,16,6
breakdancer,AKR_J,12930,TN,5386449,100,16,7
breakdancer,AKR_J,6742,TN,5399653,100,16,7
breakdancer,AKR_J,29115,TN,5406823,100,16,7
breakdancer,AKR_J,32276,TN,6022942,100,16,7
breakdancer,AKR_J,329112,TN,13906341,100,16,7
breakdancer,AKR_J,24470,TN,14766859,100,16,7
breakdancer,AKR_J,144609,TN,14792646,100,16,7
breakdancer,AKR_J,207768,TN,14937884,100,16,7
breakdancer,AKR_J,378329,TN,15148736,100,16,7
breakdancer,AKR_J,311917,TN,15527513,100,16,7
breakdancer,AKR_J,34309,TN,15846589,100,16,7
breakdancer,AKR_J,509977,TN,16507910,100,16,7
breakdancer,AKR_J,29357,TN,18197280,100,16,7
breakdancer,AKR_J,30853,TN,18232839,100,16,7
breakdancer,AKR_J,534064,TN,18926808,100,16,7
breakdancer,AKR_J,14424,TN,19856002,100,16,7
breakdancer,AKR_J,95554,TN,20044311,100,16,7
breakdancer,AKR_J,143918,TN,20144373,100,16,7
breakdancer,AKR_J,5840,TN,20561521,100,16,7
breakdancer,AKR_J,263432,TN,20576299,100,16,7
breakdancer,AKR_J,4448,TN,21064642,100,16,7
breakdancer,AKR_J,222301,TN,21069384,100,16,7
breakdancer,AKR_J,980,TN,21292624,100,16,7
breakdancer,AKR_J,146453,TN,22912919,100,16,7
breakdancer,AKR_J,3486,TN,24283644,100,16,7
breakdancer,AKR_J,8725,TN,24287492,100,16,7
breakdancer,AKR_J,17226,TN,24809850,100,16,7
breakdancer,AKR_J,15486,TN,24892464,100,16,7
breakdancer,AKR_J,51056,TN,25033596,100,16,7
breakdancer,AKR_J,73417,TN,26270409,100,16,7
breakdancer,AKR_J,359388,TN,27133477,100,16,7
breakdancer,AKR_J,295373,TN,28930289,100,16,7
breakdancer,AKR_J,6738,TN,29984012,100,16,7
breakdancer,AKR_J,39037,TN,36763850,100,16,7
breakdancer,AKR_J,22189,TN,37595291,100,16,7
breakdancer,AKR_J,174312,TN,37624486,100,16,7
breakdancer,AKR_J,536,TN,38021221,100,16,7
breakdancer,AKR_J,12938,TN,39524259,100,16,7
breakdancer,AKR_J,270546,TN,40237917,100,16,7
breakdancer,AKR_J,34788,TN,42963665,100,16,7
breakdancer,AKR_J,13956,TN,43005060,100,16,7
breakdancer,AKR_J,34805,TN,45096482,100,16,7
breakdancer,AKR_J,51317,TN,45759300,100,16,7
breakdancer,AKR_J,18881,TN,45810977,100,16,7
breakdancer,AKR_J,33545,TN,46719116,100,16,7
breakdancer,AKR_J,1657,TN,47156587,100,16,7
breakdancer,AKR_J,35663,TN,47158953,100,16,7
breakdancer,AKR_J,293775,TN,47196448,100,16,7
breakdancer,AKR_J,9720,TN,48095913,100,16,7
breakdancer,AKR_J,48204,TN,50059718,100,16,7
breakdancer,AKR_J,59758,TN,50114436,100,16,7
breakdancer,AKR_J,3064,TN,50174532,100,16,7
breakdancer,AKR_J,40477,TN,50557878,100,16,7
breakdancer,AKR_J,25316,TN,50601960,100,16,7
breakdancer,AKR_J,37254,TN,50756164,100,16,7
breakdancer,AKR_J,15327,TN,50892394,100,16,7
breakdancer,AKR_J,1394576,TN,50908615,100,16,7
breakdancer,AKR_J,675929,TN,52309657,100,16,7
breakdancer,AKR_J,2227,TN,54483700,100,16,7
breakdancer,AKR_J,416027,TN,54578980,100,16,7
breakdancer,AKR_J,22827,TN,57135811,100,16,7
breakdancer,AKR_J,82955,TN,57431306,100,16,7
breakdancer,AKR_J,81389,TN,57520632,100,16,7
breakdancer,AKR_J,8019,TN,59213903,100,16,7
breakdancer,AKR_J,97541,TN,59224784,100,16,7
breakdancer,AKR_J,51686,TN,59610511,100,16,7
breakdancer,AKR_J,46779,TN,59767300,100,16,7
breakdancer,AKR_J,4883,TN,59820224,100,16,7
breakdancer,AKR_J,45378,TN,59826681,100,16,7
breakdancer,AKR_J,13320,TN,60056825,100,16,7
breakdancer,AKR_J,18095,TN,60291211,100,16,7
breakdancer,AKR_J,1415,TN,60642338,100,16,7
breakdancer,AKR_J,11445,TN,60692239,100,16,7
breakdancer,AKR_J,316768,TN,61192389,100,16,7
breakdancer,AKR_J,29154,TN,5406823,100,16,8
breakdancer,AKR_J,196896,TN,14569652,100,16,8
breakdancer,AKR_J,24470,TN,14766859,100,16,8
breakdancer,AKR_J,144613,TN,14792646,100,16,8
breakdancer,AKR_J,207714,TN,14937933,100,16,8
breakdancer,AKR_J,378329,TN,15148736,100,16,8
breakdancer,AKR_J,311913,TN,15527513,100,16,8
breakdancer,AKR_J,34333,TN,15846588,100,16,8
breakdancer,AKR_J,509978,TN,16507910,100,16,8
breakdancer,AKR_J,29371,TN,18197280,100,16,8
breakdancer,AKR_J,30853,TN,18232839,100,16,8
breakdancer,AKR_J,334399,TN,19461184,100,16,8
breakdancer,AKR_J,14422,TN,19856002,100,16,8
breakdancer,AKR_J,95549,TN,20044315,100,16,8
breakdancer,AKR_J,143910,TN,20144373,100,16,8
breakdancer,AKR_J,5867,TN,20561475,100,16,8
breakdancer,AKR_J,263429,TN,20576299,100,16,8
breakdancer,AKR_J,4455,TN,21064642,100,16,8
breakdancer,AKR_J,222335,TN,21069351,100,16,8
breakdancer,AKR_J,146455,TN,22912898,100,16,8
breakdancer,AKR_J,130948,TN,23619761,100,16,8
breakdancer,AKR_J,3487,TN,24283643,100,16,8
breakdancer,AKR_J,8720,TN,24287490,100,16,8
breakdancer,AKR_J,17226,TN,24809850,100,16,8
breakdancer,AKR_J,15535,TN,24892447,100,16,8
breakdancer,AKR_J,51065,TN,25033597,100,16,8
breakdancer,AKR_J,359385,TN,27133477,100,16,8
breakdancer,AKR_J,295373,TN,28930289,100,16,8
breakdancer,AKR_J,6727,TN,29984010,100,16,8
breakdancer,AKR_J,39037,TN,36763850,100,16,8
breakdancer,AKR_J,254792,TN,36803222,100,16,8
breakdancer,AKR_J,22174,TN,37595291,100,16,8
breakdancer,AKR_J,174312,TN,37624486,100,16,8
breakdancer,AKR_J,4087,TN,39388319,100,16,8
breakdancer,AKR_J,12946,TN,39524259,100,16,8
breakdancer,AKR_J,62106,TN,39537830,100,16,8
breakdancer,AKR_J,298413,TN,40624607,100,16,8
breakdancer,AKR_J,6435,TN,40923268,100,16,8
breakdancer,AKR_J,35508,TN,41489788,100,16,8
breakdancer,AKR_J,34768,TN,42963675,100,16,8
breakdancer,AKR_J,13956,TN,43005060,100,16,8
breakdancer,AKR_J,24175,TN,44141130,100,16,8
breakdancer,AKR_J,34826,TN,45096482,100,16,8
breakdancer,AKR_J,19011,TN,45810853,100,16,8
breakdancer,AKR_J,133037,TN,45852831,100,16,8
breakdancer,AKR_J,33556,TN,46719118,100,16,8
breakdancer,AKR_J,1667,TN,47156587,100,16,8
breakdancer,AKR_J,35654,TN,47158953,100,16,8
breakdancer,AKR_J,9763,TN,48095913,100,16,8
breakdancer,AKR_J,59758,TN,50114436,100,16,8
breakdancer,AKR_J,3091,TN,50174532,100,16,8
breakdancer,AKR_J,40459,TN,50557878,100,16,8
breakdancer,AKR_J,25350,TN,50601957,100,16,8
breakdancer,AKR_J,37255,TN,50756163,100,16,8
breakdancer,AKR_J,984,TN,50794790,100,16,8
breakdancer,AKR_J,32777,TN,50796155,100,16,8
breakdancer,AKR_J,15330,TN,50892394,100,16,8
breakdancer,AKR_J,1394623,TN,50908615,100,16,8
breakdancer,AKR_J,675924,TN,52309657,100,16,8
breakdancer,AKR_J,2234,TN,54483700,100,16,8
breakdancer,AKR_J,415979,TN,54578980,100,16,8
breakdancer,AKR_J,26922,TN,55133095,100,16,8
breakdancer,AKR_J,139161,TN,56117909,100,16,8
breakdancer,AKR_J,22808,TN,57135812,100,16,8
breakdancer,AKR_J,82949,TN,57431306,100,16,8
breakdancer,AKR_J,8020,TN,59213902,100,16,8
breakdancer,AKR_J,97536,TN,59224784,100,16,8
breakdancer,AKR_J,51691,TN,59610511,100,16,8
breakdancer,AKR_J,46766,TN,59767300,100,16,8
breakdancer,AKR_J,4884,TN,59820223,100,16,8
breakdancer,AKR_J,45369,TN,59826681,100,16,8
breakdancer,AKR_J,31284,TN,60024946,100,16,8
breakdancer,AKR_J,37981,TN,60309623,100,16,8
breakdancer,AKR_J,1440,TN,60642339,100,16,8
breakdancer,AKR_J,11444,TN,60692234,100,16,8
breakdancer,AKR_J,44856,TN,60880477,100,16,8
breakdancer,AKR_J,886,TN,61113358,100,16,8
breakdancer,AKR_J,29144,TN,5406823,100,16,9
breakdancer,AKR_J,24468,TN,14766859,100,16,9
breakdancer,AKR_J,207724,TN,14937930,100,16,9
breakdancer,AKR_J,378339,TN,15148736,100,16,9
breakdancer,AKR_J,311917,TN,15527513,100,16,9
breakdancer,AKR_J,34332,TN,15846589,100,16,9
breakdancer,AKR_J,1244,TN,15881934,100,16,9
breakdancer,AKR_J,509976,TN,16507910,100,16,9
breakdancer,AKR_J,29378,TN,18197282,100,16,9
breakdancer,AKR_J,30816,TN,18232844,100,16,9
breakdancer,AKR_J,534104,TN,18926808,100,16,9
breakdancer,AKR_J,14422,TN,19856002,100,16,9
breakdancer,AKR_J,95555,TN,20044310,100,16,9
breakdancer,AKR_J,143924,TN,20144373,100,16,9
breakdancer,AKR_J,5886,TN,20561475,100,16,9
breakdancer,AKR_J,263432,TN,20576299,100,16,9
breakdancer,AKR_J,12018,TN,20843733,100,16,9
breakdancer,AKR_J,4487,TN,21064642,100,16,9
breakdancer,AKR_J,1018,TN,21292619,100,16,9
breakdancer,AKR_J,146446,TN,22912896,100,16,9
breakdancer,AKR_J,135648,TN,24147590,100,16,9
breakdancer,AKR_J,3479,TN,24283643,100,16,9
breakdancer,AKR_J,8718,TN,24287492,100,16,9
breakdancer,AKR_J,17199,TN,24809850,100,16,9
breakdancer,AKR_J,15568,TN,24892414,100,16,9
breakdancer,AKR_J,51055,TN,25033597,100,16,9
breakdancer,AKR_J,64525,TN,25830311,100,16,9
breakdancer,AKR_J,295318,TN,28930352,100,16,9
breakdancer,AKR_J,6736,TN,29984012,100,16,9
breakdancer,AKR_J,115977,TN,32087213,100,16,9
breakdancer,AKR_J,22182,TN,37595291,100,16,9
breakdancer,AKR_J,174310,TN,37624486,100,16,9
breakdancer,AKR_J,4087,TN,39388319,100,16,9
breakdancer,AKR_J,902,TN,39516782,100,16,9
breakdancer,AKR_J,12942,TN,39524265,100,16,9
breakdancer,AKR_J,62124,TN,39537802,100,16,9
breakdancer,AKR_J,21912,TN,42441542,100,16,9
breakdancer,AKR_J,34778,TN,42963679,100,16,9
breakdancer,AKR_J,13956,TN,43005060,100,16,9
breakdancer,AKR_J,34805,TN,45096482,100,16,9
breakdancer,AKR_J,19011,TN,45810853,100,16,9
breakdancer,AKR_J,33545,TN,46719116,100,16,9
breakdancer,AKR_J,1597,TN,47156587,100,16,9
breakdancer,AKR_J,35652,TN,47158953,100,16,9
breakdancer,AKR_J,48214,TN,50059718,100,16,9
breakdancer,AKR_J,59741,TN,50114436,100,16,9
breakdancer,AKR_J,3091,TN,50174532,100,16,9
breakdancer,AKR_J,40467,TN,50557878,100,16,9
breakdancer,AKR_J,25350,TN,50601957,100,16,9
breakdancer,AKR_J,970,TN,50794790,100,16,9
breakdancer,AKR_J,32786,TN,50796155,100,16,9
breakdancer,AKR_J,15348,TN,50892394,100,16,9
breakdancer,AKR_J,1394626,TN,50908612,100,16,9
breakdancer,AKR_J,675929,TN,52309657,100,16,9
breakdancer,AKR_J,2233,TN,54483701,100,16,9
breakdancer,AKR_J,38946,TN,55519241,100,16,9
breakdancer,AKR_J,22821,TN,57135812,100,16,9
breakdancer,AKR_J,82966,TN,57431306,100,16,9
breakdancer,AKR_J,81390,TN,57520631,100,16,9
breakdancer,AKR_J,8015,TN,59213902,100,16,9
breakdancer,AKR_J,97541,TN,59224784,100,16,9
breakdancer,AKR_J,51686,TN,59610511,100,16,9
breakdancer,AKR_J,46739,TN,59767300,100,16,9
breakdancer,AKR_J,45368,TN,59826681,100,16,9
breakdancer,AKR_J,31289,TN,60024946,100,16,9
breakdancer,AKR_J,37965,TN,60309622,100,16,9
breakdancer,AKR_J,1444,TN,60642339,100,16,9
breakdancer,AKR_J,11445,TN,60692234,100,16,9
breakdancer,AKR_J,44864,TN,60880477,100,16,9
breakdancer,AKR_J,14427,TN,19856002,10,16,1
breakdancer,AKR_J,5886,TN,20561475,10,16,1
breakdancer,AKR_J,991,TN,21292619,10,16,1
breakdancer,AKR_J,4087,TN,39388319,10,16,1
breakdancer,AKR_J,97519,TN,59224784,10,16,1
breakdancer,AKR_J,14424,TN,19856002,10,16,3
breakdancer,AKR_J,146440,TN,22912902,10,16,3
breakdancer,AKR_J,40463,TN,50557878,10,16,3
breakdancer,AKR_J,14421,TN,19856002,10,16,4
breakdancer,AKR_J,143886,TN,20144373,10,16,4
breakdancer,AKR_J,1657,TN,47156587,10,16,4
breakdancer,AKR_J,40463,TN,50557878,10,16,4
breakdancer,AKR_J,37951,TN,60309623,10,16,4
breakdancer,AKR_J,14427,TN,19856002,10,16,5
breakdancer,AKR_J,34788,TN,42963665,10,16,5
breakdancer,AKR_J,40452,TN,50557878,10,16,5
breakdancer,AKR_J,37965,TN,60309622,10,16,5
breakdancer,AKR_J,2830771,TN,6058498,10000,2,1
breakdancer,AKR_J,24344,TN,14766924,10000,2,1
breakdancer,AKR_J,311596,TN,15527666,10000,2,1
breakdancer,AKR_J,34274,TN,15846589,10000,2,1
breakdancer,AKR_J,24195,TN,15881934,10000,2,1
breakdancer,AKR_J,509839,TN,16508048,10000,2,1
breakdancer,AKR_J,16888,TN,24810064,10000,2,1
breakdancer,AKR_J,15372,TN,24892518,10000,2,1
breakdancer,AKR_J,176118,TN,37844451,10000,2,1
breakdancer,AKR_J,13956,TN,43005060,10000,2,1
breakdancer,AKR_J,35597,TN,47158953,10000,2,1
breakdancer,AKR_J,3999,TN,54483700,10000,2,1
breakdancer,AKR_J,263231,TN,20576299,1000,2,2
breakdancer,AKR_J,50950,TN,25033698,1000,2,2
breakdancer,AKR_J,25264,TN,50601957,1000,2,2
breakdancer,AKR_J,139151,TN,56117909,1000,2,2
breakdancer,AKR_J,51594,TN,59610536,1000,2,2
breakdancer,AKR_J,207574,TN,14938043,1000,2,3
breakdancer,AKR_J,2155,TN,18924303,1000,2,3
breakdancer,AKR_J,263315,TN,20576378,1000,2,3
breakdancer,AKR_J,50944,TN,25033680,1000,2,3
breakdancer,AKR_J,34649,TN,45096513,1000,2,3
breakdancer,AKR_J,51634,TN,59610553,1000,2,3
breakdancer,AKR_J,359258,TN,27133477,1000,2,5
breakdancer,AKR_J,6714,TN,29984030,1000,2,5
breakdancer,AKR_J,1394473,TN,50908617,1000,2,5
breakdancer,AKR_J,675829,TN,52309685,1000,2,5
breakdancer,AKR_J,22819,TN,57135814,1000,2,5
breakdancer,AKR_J,1373,TN,60642374,1000,2,5
breakdancer,AKR_J,555227,TN,11223972,1000,2,7
breakdancer,AKR_J,34243,TN,15846595,1000,2,7
breakdancer,AKR_J,95466,TN,20044311,1000,2,7
breakdancer,AKR_J,48173,TN,50059759,1000,2,7
breakdancer,AKR_J,138939,TN,56118017,1000,2,7
breakdancer,AKR_J,51603,TN,59610559,1000,2,7
breakdancer,AKR_J,31133,TN,60025060,1000,2,7
breakdancer,AKR_J,34047,TN,60657622,1000,2,7
breakdancer,AKR_J,222336,TN,21069351,100,2,6
breakdancer,AKR_J,34801,TN,45096505,100,2,6
breakdancer,AKR_J,25291,TN,50601965,100,2,6
breakdancer,AKR_J,37102,TN,50756164,100,2,6
breakdancer,AKR_J,22741,TN,57135818,100,2,6
breakdancer,AKR_J,97519,TN,59224784,100,2,6
breakdancer,AKR_J,24473,TN,14766859,100,2,8
breakdancer,AKR_J,2041,TN,18924402,100,2,8
breakdancer,AKR_J,95520,TN,20044311,100,2,8
breakdancer,AKR_J,17206,TN,24809850,100,2,8
breakdancer,AKR_J,6725,TN,29984012,100,2,8
breakdancer,AKR_J,25248,TN,50601957,100,2,8
breakdancer,AKR_J,32739,TN,50796155,100,2,8
breakdancer,AKR_J,22745,TN,57135814,100,2,8
breakdancer,AKR_J,82926,TN,57431306,100,2,8
breakdancer,AKR_J,51551,TN,59610511,100,2,8
breakdancer,AKR_J,143872,TN,20144373,10,2,10
breakdancer,AKR_J,359371,TN,27133487,10,2,10
breakdancer,AKR_J,97519,TN,59224784,10,2,6
breakdancer,AKR_J,95520,TN,20044311,10,2,8
breakdancer,AKR_J,178684,TN,4639613,100,32,2
breakdancer,AKR_J,6743,TN,5399652,100,32,2
breakdancer,AKR_J,29152,TN,5406823,100,32,2
breakdancer,AKR_J,27147,TN,13872263,100,32,2
breakdancer,AKR_J,329110,TN,13906359,100,32,2
breakdancer,AKR_J,196896,TN,14569652,100,32,2
breakdancer,AKR_J,24473,TN,14766859,100,32,2
breakdancer,AKR_J,144644,TN,14792646,100,32,2
breakdancer,AKR_J,207812,TN,14937842,100,32,2
breakdancer,AKR_J,34336,TN,15846588,100,32,2
breakdancer,AKR_J,1221,TN,15881934,100,32,2
breakdancer,AKR_J,509978,TN,16507910,100,32,2
breakdancer,AKR_J,29380,TN,18197280,100,32,2
breakdancer,AKR_J,30853,TN,18232839,100,32,2
breakdancer,AKR_J,334352,TN,19461184,100,32,2
breakdancer,AKR_J,14424,TN,19856002,100,32,2
breakdancer,AKR_J,95555,TN,20044310,100,32,2
breakdancer,AKR_J,143924,TN,20144373,100,32,2
breakdancer,AKR_J,5886,TN,20561475,100,32,2
breakdancer,AKR_J,263433,TN,20576298,100,32,2
breakdancer,AKR_J,12018,TN,20843733,100,32,2
breakdancer,AKR_J,4487,TN,21064642,100,32,2
breakdancer,AKR_J,222336,TN,21069351,100,32,2
breakdancer,AKR_J,1013,TN,21292624,100,32,2
breakdancer,AKR_J,117339,TN,22136597,100,32,2
breakdancer,AKR_J,146476,TN,22912896,100,32,2
breakdancer,AKR_J,130948,TN,23619761,100,32,2
breakdancer,AKR_J,3488,TN,24283643,100,32,2
breakdancer,AKR_J,8733,TN,24287490,100,32,2
breakdancer,AKR_J,17226,TN,24809850,100,32,2
breakdancer,AKR_J,15576,TN,24892414,100,32,2
breakdancer,AKR_J,51066,TN,25033596,100,32,2
breakdancer,AKR_J,73454,TN,26270409,100,32,2
breakdancer,AKR_J,359393,TN,27133477,100,32,2
breakdancer,AKR_J,295388,TN,28930289,100,32,2
breakdancer,AKR_J,322905,TN,29660836,100,32,2
breakdancer,AKR_J,6738,TN,29984012,100,32,2
breakdancer,AKR_J,39055,TN,36763850,100,32,2
breakdancer,AKR_J,22189,TN,37595291,100,32,2
breakdancer,AKR_J,174304,TN,37624486,100,32,2
breakdancer,AKR_J,4633,TN,37799194,100,32,2
breakdancer,AKR_J,535,TN,38021221,100,32,2
breakdancer,AKR_J,134918,TN,38080308,100,32,2
breakdancer,AKR_J,4087,TN,39388319,100,32,2
breakdancer,AKR_J,71248,TN,39426870,100,32,2
breakdancer,AKR_J,62134,TN,39537802,100,32,2
breakdancer,AKR_J,73032,TN,41394974,100,32,2
breakdancer,AKR_J,16497,TN,41472962,100,32,2
breakdancer,AKR_J,35501,TN,41489788,100,32,2
breakdancer,AKR_J,121020,TN,41526972,100,32,2
breakdancer,AKR_J,6821,TN,41929592,100,32,2
breakdancer,AKR_J,21917,TN,42441542,100,32,2
breakdancer,AKR_J,34792,TN,42963665,100,32,2
breakdancer,AKR_J,13971,TN,43005060,100,32,2
breakdancer,AKR_J,63346,TN,43081560,100,32,2
breakdancer,AKR_J,86822,TN,43865020,100,32,2
breakdancer,AKR_J,149315,TN,43952013,100,32,2
breakdancer,AKR_J,34835,TN,45096482,100,32,2
breakdancer,AKR_J,18887,TN,45810977,100,32,2
breakdancer,AKR_J,22396,TN,45830187,100,32,2
breakdancer,AKR_J,133037,TN,45852831,100,32,2
breakdancer,AKR_J,32008,TN,45986025,100,32,2
breakdancer,AKR_J,1667,TN,47156587,100,32,2
breakdancer,AKR_J,35679,TN,47158930,100,32,2
breakdancer,AKR_J,9760,TN,48095913,100,32,2
breakdancer,AKR_J,48214,TN,50059718,100,32,2
breakdancer,AKR_J,59762,TN,50114436,100,32,2
breakdancer,AKR_J,3064,TN,50174532,100,32,2
breakdancer,AKR_J,40477,TN,50557878,100,32,2
breakdancer,AKR_J,25351,TN,50601957,100,32,2
breakdancer,AKR_J,37233,TN,50756163,100,32,2
breakdancer,AKR_J,981,TN,50794790,100,32,2
breakdancer,AKR_J,32786,TN,50796155,100,32,2
breakdancer,AKR_J,1394626,TN,50908612,100,32,2
breakdancer,AKR_J,675924,TN,52309657,100,32,2
breakdancer,AKR_J,2233,TN,54483701,100,32,2
breakdancer,AKR_J,26922,TN,55133095,100,32,2
breakdancer,AKR_J,39092,TN,55519103,100,32,2
breakdancer,AKR_J,139169,TN,56117909,100,32,2
breakdancer,AKR_J,22827,TN,57135811,100,32,2
breakdancer,AKR_J,82951,TN,57431306,100,32,2
breakdancer,AKR_J,81390,TN,57520631,100,32,2
breakdancer,AKR_J,33138,TN,57741235,100,32,2
breakdancer,AKR_J,52565,TN,57774574,100,32,2
breakdancer,AKR_J,97541,TN,59224784,100,32,2
breakdancer,AKR_J,51686,TN,59610511,100,32,2
breakdancer,AKR_J,46784,TN,59767300,100,32,2
breakdancer,AKR_J,4884,TN,59820223,100,32,2
breakdancer,AKR_J,31289,TN,60024946,100,32,2
breakdancer,AKR_J,13320,TN,60056825,100,32,2
breakdancer,AKR_J,37977,TN,60309621,100,32,2
breakdancer,AKR_J,12914,TN,60572947,100,32,2
breakdancer,AKR_J,13654,TN,60627594,100,32,2
breakdancer,AKR_J,1445,TN,60642338,100,32,2
breakdancer,AKR_J,25377,TN,60747688,100,32,2
